"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"IMF.STA:LS(9.0.0)","HUN.U.PT.A","OBS_VALUE","Hungary","Unemployment rate","Percent","Annual","Units","7.458333333333332","7.391666666666668","7.8","9.675","10.8","10.65833333333333","10.58333333333333","9.633333333333335","7.458333333333335","6.516666666666665","4.883333333333335"
"IMF.STA:LS(9.0.0)","ALB.U.PT.A","OBS_VALUE","Albania","Unemployment rate","Percent","Annual","Units","13.905","13.36","12.75","13.5625","13.73","13.35","13.374","15.89425","18.09825","17.191","15.42275"
"IMF.STA:LS(9.0.0)","ROU.U.PT.A","OBS_VALUE","Romania","Unemployment rate","Percent","Annual","Units","7.174999999999998","6.341666666666668","5.599999999999998","8.425","9.025","9.091666666666665","8.691666666666668","8.991666666666667","8.591666666666665","8.391666666666667","7.2"
"IMF.STA:LS(9.0.0)","SVK.U.PT.A","OBS_VALUE","Slovak Republic","Unemployment rate","Percent","Annual","Units","13.46666666666667","11.23333333333333","9.575","12.08333333333334","14.43333333333334","13.60833333333334","13.9","14.13333333333333","13.1","11.46666666666667","9.658333333333331"
"IMF.STA:LS(9.0.0)","HRV.U.PT.A","OBS_VALUE","Croatia, Republic of","Unemployment rate","Percent","Annual","Units","11.65833333333334","9.933333333333335","8.583333333333336","9.291666666666668","11.75","13.66666666666667","15.78333333333334","17.41666666666667","17.25","16.13333333333333","13.38333333333334"
"IMF.STA:LS(9.0.0)","UKR.U.PT.A","OBS_VALUE","Ukraine","Unemployment rate","Percent","Annual","Units","6.817","6.36025","6.379","8.851","8.10175","7.8555","7.5355","7.4255","8.8005","9.25375","9.35"
"IMF.STA:LS(9.0.0)","GRC.U.PT.A","OBS_VALUE","Greece","Unemployment rate","Percent","Annual","Units","9.033333333333331","8.416666666666668","7.766666666666668","9.75","12.95833333333334","18.09166666666667","24.80833333333333","27.825","26.65","24.98333333333333","23.875"
"IMF.STA:LS(9.0.0)","POL.U.PT.A","OBS_VALUE","Poland, Republic of","Unemployment rate","Percent","Annual","Units","13.96666666666666","9.608333333333334","7.041666666666665","8.125","9.983333333333334","9.95","10.39166666666667","10.60833333333333","9.208333333333332","7.683333333333335","6.283333333333332"
"IMF.STA:LS(9.0.0)","SRB.U.PT.A","OBS_VALUE","Serbia, Republic of","Unemployment rate","Percent","Annual","Units","20.85","18.06","13.67","16.116","19.204","22.959","24.0","22.154","19.22525","17.6655","15.26275"
"IMF.STA:LS(9.0.0)","CZE.U.PT.A","OBS_VALUE","Czech Republic","Unemployment rate","Percent","Annual","Units","7.133333333333332","5.324999999999998","4.408333333333332","6.683333333333332","7.291666666666668","6.716666666666668","6.975000000000002","6.966666666666665","6.116666666666665","5.058333333333332","3.966666666666668"
"IMF.STA:LS(9.0.0)","BGR.U.PT.A","OBS_VALUE","Bulgaria","Unemployment rate","Percent","Annual","Units","8.983333333333333","6.916666666666665","5.633333333333332","7.941666666666665","11.34166666666667","12.3","13.30833333333333","13.90833333333333","12.40833333333334","10.125","8.583333333333336"
"IMF.STA:LS(9.0.0)","MNE.U.PT.A","OBS_VALUE","Montenegro","Unemployment rate","Percent","Annual","Units","","19.4","17.15","19.09","19.651","19.7235","19.89","19.59875","18.06475","17.567","17.74225"
